crop_type,soil_moisture,temperature,humidity,canal_level,wind_speed,crop_age_days,predicted_moisture_6h,water_need_code
Cotton,34.53,38.28,79.37,19.48,1.88,74.6,20.64,2
Tomato,82.14,36.73,39.4,56.12,1.51,108.8,65.15,0
Groundnut,77.14,39.33,83.85,97.46,7.76,118.2,62.23,0
Maize,34.82,21.33,87.75,78.35,1.33,75.3,32.4,1
Cotton,72.19,24.87,37.39,79.79,5.97,97.6,64.82,0
Tomato,63.01,26.02,87.27,69.74,0.41,27.5,61.81,0
Rice,50.83,28.49,50.37,91.31,4.35,86.8,38.17,1
Rice,44.6,29.46,71.56,76.19,0.57,70.5,36.2,1
Maize,72.09,25.83,44.61,33.25,0.49,84.4,63.47,0
Groundnut,70.52,35.81,79.96,54.95,1.84,21.5,58.51,0
Rice,67.99,24.46,81.31,46.39,7.4,112.9,63.81,0
Maize,84.88,33.93,88.81,24.89,5.11,55.9,74.08,0
Rice,48.5,37.04,89.59,30.01,5.21,95.3,35.21,1
Groundnut,71.48,32.07,39.17,35.66,2.38,119.0,53.78,0
Cotton,75.37,27.08,71.19,25.63,5.79,106.1,66.4,0
Cotton,29.81,23.76,50.02,29.56,5.45,44.3,18.91,2
Cotton,17.94,22.69,41.91,92.48,3.69,54.2,11.58,2
Chilli,43.33,34.88,43.18,40.89,5.46,81.4,18.29,2
Cotton,74.97,29.38,86.5,84.48,6.94,69.2,68.42,0
Rice,35.24,20.93,72.6,15.8,7.68,55.1,26.62,2
Groundnut,64.0,39.68,37.78,98.36,7.97,81.9,38.61,1
Cotton,15.51,33.43,89.13,78.83,3.91,110.0,5.64,2
Cotton,39.88,36.88,79.43,91.6,0.26,44.0,30.86,1
Maize,58.09,28.76,52.0,57.33,1.83,24.1,47.67,1
Cotton,24.08,39.11,60.9,67.11,1.57,84.3,13.96,2
Maize,77.76,23.99,74.96,42.47,2.4,74.9,71.75,0
Rice,25.94,23.7,72.18,48.88,2.88,109.6,20.39,2
Groundnut,78.69,37.81,60.47,77.57,5.35,91.7,60.87,0
Tomato,30.15,37.83,63.18,14.5,4.21,53.7,12.95,2
Rice,84.6,29.98,37.38,13.29,5.2,79.7,67.69,0
Chilli,57.33,22.52,62.53,88.74,7.77,104.9,45.12,1
Tomato,20.9,26.1,53.71,19.9,0.39,48.2,10.45,2
Groundnut,19.57,35.08,50.68,74.89,0.12,11.5,10.39,2
Maize,20.24,36.92,49.83,27.96,5.32,78.9,5.0,2
Rice,56.29,26.95,70.69,42.96,4.37,12.9,49.54,1
Groundnut,71.67,21.22,58.61,36.42,3.86,113.1,63.95,0
Chilli,43.21,33.31,58.42,54.13,6.83,28.5,29.52,2
Tomato,46.14,34.79,43.76,84.4,1.27,51.2,26.99,2
Cotton,56.25,28.48,87.9,88.8,4.59,114.1,47.81,1
Chilli,52.31,31.66,47.32,29.98,7.46,18.8,32.6,1
Rice,63.16,39.75,57.34,40.39,3.57,10.5,44.0,1
Cotton,48.03,24.9,45.46,85.32,4.64,21.4,37.4,1
Maize,64.97,31.46,73.67,18.07,0.56,118.5,56.72,0
Cotton,84.81,32.22,58.99,20.52,2.79,116.9,73.54,0
Groundnut,39.52,30.98,57.75,53.16,0.33,52.3,29.16,2
Chilli,15.86,37.38,83.13,81.11,4.58,91.7,5.0,2
Cotton,23.79,32.1,76.77,40.24,4.72,91.0,13.62,2
Tomato,53.75,30.16,63.59,16.25,7.61,21.0,39.71,1
Tomato,39.1,22.46,60.77,97.11,5.11,35.9,30.43,1
Maize,80.8,34.06,87.79,94.5,0.02,107.8,71.86,0
Groundnut,58.92,22.64,87.61,68.67,6.67,28.2,51.54,0
Chilli,51.42,20.53,73.76,71.37,2.64,67.3,48.01,1
Maize,70.86,29.77,76.81,94.03,5.71,36.9,57.11,0
Cotton,33.1,31.45,84.45,67.95,2.11,71.3,25.2,2
Groundnut,72.38,39.98,88.04,80.96,6.08,31.6,59.4,0
Groundnut,15.21,34.25,39.53,51.72,7.42,33.7,5.0,2
Tomato,58.38,36.97,89.85,30.52,0.63,15.1,46.52,1
Cotton,80.43,26.93,73.67,84.93,4.35,118.9,76.39,0
Chilli,70.15,30.18,67.6,71.59,4.32,22.4,60.65,0
Maize,74.75,39.49,57.72,36.06,2.29,55.7,58.47,0
Maize,42.79,28.35,53.5,66.09,2.73,55.9,29.67,2
Rice,72.7,36.15,79.23,83.48,5.41,43.4,55.57,0
Tomato,53.56,30.52,70.99,34.33,2.34,97.3,42.69,1
Chilli,58.3,24.48,46.04,79.13,0.25,47.1,52.17,0
Groundnut,19.12,31.61,68.55,16.51,6.15,78.8,6.32,2
Groundnut,29.11,24.36,42.76,66.25,5.0,69.7,14.37,2
Tomato,53.57,20.06,62.33,99.9,2.0,105.0,47.06,1
Cotton,19.12,24.72,67.09,87.97,7.69,100.1,8.4,2
Rice,66.9,23.86,69.96,88.81,7.19,34.0,58.46,0
Cotton,73.8,27.42,42.99,71.23,7.72,92.5,64.95,0
Maize,79.43,37.77,40.26,51.51,4.1,97.2,61.54,0
Maize,22.12,27.76,49.23,70.95,1.88,111.1,11.49,2
Cotton,80.78,36.9,68.39,38.91,1.39,116.0,68.97,0
Maize,19.73,31.11,86.24,59.75,7.59,91.1,7.04,2
Cotton,48.18,20.15,77.85,58.57,7.13,59.5,40.84,1
Chilli,73.82,23.77,76.01,58.94,5.93,42.2,65.72,0
Groundnut,19.92,38.63,53.16,47.08,4.08,105.1,5.0,2
Chilli,16.28,32.08,41.14,41.75,3.08,110.7,5.0,2
Tomato,16.75,38.59,84.06,39.73,5.63,20.7,5.0,2
Cotton,50.79,26.2,62.55,30.23,0.08,71.0,40.3,1
Maize,71.81,34.33,40.53,49.47,4.19,24.2,54.57,0
Chilli,23.92,35.44,64.42,20.6,5.43,37.7,8.09,2
Rice,23.72,39.51,72.15,91.14,6.03,52.2,10.26,2
Rice,54.8,20.36,52.59,16.27,3.61,44.2,49.22,1
Chilli,31.4,39.04,35.51,85.37,5.96,88.8,6.11,2
Tomato,66.11,27.83,69.19,31.71,0.77,18.7,58.09,0
Groundnut,81.47,36.76,37.21,86.79,1.87,77.5,65.67,0
Groundnut,68.62,30.89,58.8,74.82,1.16,74.0,61.01,0
Cotton,76.4,31.29,80.36,92.89,2.72,96.6,69.52,0
Cotton,51.37,27.19,89.94,88.32,2.75,20.6,48.27,1
Chilli,73.26,36.57,55.37,73.1,2.99,46.6,56.34,0
Rice,27.8,25.28,36.11,23.65,3.73,86.7,14.38,2
Maize,19.78,29.84,62.11,59.41,3.49,88.3,5.0,2
Maize,60.92,31.2,50.2,40.58,3.92,59.5,46.34,1
Groundnut,18.64,34.85,84.1,89.72,6.02,60.8,6.65,2
Tomato,77.47,29.43,74.13,88.5,1.14,116.1,65.7,0
Maize,63.41,33.61,57.24,38.26,2.81,45.9,51.01,0
Maize,81.65,29.71,76.91,70.45,0.0,26.5,72.99,0
Rice,36.97,33.19,53.77,40.45,0.23,114.8,23.78,2
Rice,49.03,33.48,63.7,71.04,4.85,99.1,38.06,1
Maize,66.92,34.19,85.75,65.25,7.01,36.1,54.7,0
Rice,31.99,36.47,46.01,55.99,2.45,104.3,15.94,2
Rice,52.93,30.81,52.22,89.06,3.22,37.8,39.9,1
Maize,61.16,23.87,83.71,32.14,1.68,101.0,57.21,0
Tomato,83.52,33.59,60.4,81.77,1.14,79.1,71.28,0
Chilli,67.13,21.54,52.48,72.06,7.07,63.1,56.62,0
Rice,23.27,24.38,37.05,35.31,4.58,112.1,11.17,2
Tomato,48.27,35.84,58.04,47.95,5.64,99.0,26.57,2
Maize,56.21,28.7,62.53,16.21,7.06,24.3,43.33,1
Groundnut,25.26,29.96,57.35,63.78,4.71,87.6,15.07,2
Chilli,45.24,39.75,50.26,89.91,1.44,96.8,23.97,2
Groundnut,34.88,24.7,55.3,20.6,5.71,69.5,24.2,2
Maize,23.32,20.39,70.33,21.88,5.98,40.4,19.51,2
Maize,50.84,22.23,84.02,52.71,3.31,35.8,45.48,1
Maize,26.59,24.89,70.73,35.31,4.93,117.2,16.03,2
Groundnut,56.34,34.52,70.54,34.92,3.88,58.0,40.62,1
Groundnut,26.88,35.52,79.93,67.48,2.66,67.1,16.11,2
Groundnut,65.65,31.31,44.08,46.92,5.38,75.8,48.98,1
Cotton,28.67,25.1,51.56,86.02,1.98,21.1,18.87,2
Chilli,77.74,30.43,37.78,48.6,2.62,18.9,61.45,0
Chilli,16.83,20.3,54.23,65.37,3.25,31.8,10.05,2
Groundnut,51.54,33.64,89.94,45.81,4.92,17.2,37.75,1
Tomato,37.41,32.29,53.11,33.04,6.82,108.8,15.61,2
Maize,30.76,20.44,82.29,52.42,4.92,26.3,26.99,2
Groundnut,48.01,36.34,39.72,74.84,5.81,34.9,30.12,1
Maize,73.94,35.27,60.28,95.75,2.34,69.1,57.82,0
Tomato,79.07,26.16,54.33,13.8,4.7,108.6,64.88,0
Chilli,36.23,32.71,46.09,57.86,0.83,15.4,26.32,2
Tomato,25.8,32.03,55.49,67.24,3.71,33.8,13.8,2
Groundnut,65.41,22.86,70.82,17.71,5.52,88.9,56.61,0
Groundnut,55.74,23.87,61.97,84.63,1.44,67.1,50.55,0
Tomato,29.07,33.66,81.44,34.84,7.22,75.4,13.0,2
Chilli,68.22,38.67,84.77,88.74,3.34,11.9,50.08,0
Groundnut,51.33,31.53,61.5,59.73,5.37,105.3,33.21,1
Cotton,60.74,31.36,88.99,23.69,3.76,73.7,50.64,0
Tomato,40.15,32.93,38.96,76.53,5.86,101.8,16.92,2
Chilli,45.74,28.81,50.2,24.15,4.67,116.0,30.53,1
Chilli,27.62,21.08,57.92,74.83,0.98,90.5,19.7,2
Chilli,67.96,27.93,67.05,82.74,7.4,13.4,55.6,0
Rice,25.99,38.01,65.03,61.8,5.28,88.3,10.89,2
Tomato,69.48,36.1,66.24,34.4,3.78,72.0,54.13,0
Groundnut,70.86,38.55,84.29,49.36,5.41,21.4,54.85,0
Tomato,67.26,23.06,50.27,57.52,2.09,39.7,59.7,0
Tomato,16.36,30.12,79.93,69.92,6.15,28.6,5.0,2
Tomato,34.12,31.69,65.69,67.05,3.29,111.7,20.91,2
Tomato,47.78,24.2,61.98,46.04,6.44,97.5,37.61,1
Rice,56.69,24.02,51.47,78.23,2.19,87.1,49.82,1
Maize,79.35,35.64,51.72,79.43,6.32,94.0,60.36,0
Groundnut,41.29,33.44,56.37,72.67,7.25,76.1,26.03,2
Rice,76.25,32.94,76.99,34.49,7.85,104.1,58.88,0
Tomato,26.44,25.34,61.22,52.25,6.21,35.1,11.08,2
Rice,40.99,30.14,43.46,48.95,5.63,37.6,28.58,2
Chilli,18.66,20.46,76.79,83.51,4.16,75.1,14.8,2
Tomato,66.97,22.6,71.49,82.74,0.85,99.1,58.18,0
Cotton,25.55,30.37,87.21,87.95,4.48,101.9,16.73,2
Chilli,32.99,26.19,64.12,30.81,4.51,117.4,21.33,2
Cotton,69.27,39.31,70.99,77.36,0.52,93.9,56.31,0
Chilli,52.43,29.43,61.36,88.34,5.53,35.6,37.97,1
Maize,15.98,21.67,72.44,24.98,1.19,35.4,13.09,2
Groundnut,15.16,20.36,58.99,13.59,4.77,59.0,8.04,2
Maize,50.75,34.51,42.58,19.5,3.78,81.5,34.07,1
Groundnut,36.35,23.43,89.27,64.56,7.0,66.4,26.7,2
Groundnut,27.62,23.76,74.62,47.95,1.86,17.4,22.66,2
Chilli,57.95,28.48,68.47,27.55,1.37,63.0,47.33,1
Cotton,30.99,25.28,61.48,57.55,4.41,99.9,21.71,2
Tomato,56.45,32.33,74.13,80.7,3.68,36.4,42.64,1
Cotton,41.55,29.71,41.97,87.02,1.29,79.9,31.46,1
Cotton,28.07,22.23,52.94,77.65,4.91,39.7,19.09,2
Groundnut,24.67,35.69,41.86,89.7,7.25,71.1,5.84,2
Tomato,31.58,28.52,41.93,64.38,5.92,87.1,14.04,2
Cotton,17.09,32.22,36.17,85.34,1.68,32.8,5.0,2
Maize,36.57,20.08,76.57,47.55,1.91,91.4,28.22,2
Tomato,78.14,32.53,47.5,86.72,4.46,84.4,62.6,0
Tomato,73.2,25.66,80.76,90.62,5.42,44.4,65.21,0
Chilli,41.04,29.89,84.74,71.78,7.83,108.4,24.56,2
Tomato,55.31,25.95,44.27,48.79,0.84,95.9,45.39,1
Rice,54.72,39.93,73.99,35.35,4.37,67.3,37.49,1
Maize,73.01,24.62,60.32,39.27,7.9,19.1,61.08,0
Chilli,31.54,38.26,85.54,21.91,0.89,58.5,17.08,2
Tomato,35.75,38.36,61.64,14.24,7.78,46.3,14.07,2
Groundnut,36.12,28.42,55.84,47.3,3.7,38.9,26.67,2
Cotton,17.86,26.08,51.2,13.84,5.74,80.8,6.85,2
Chilli,37.03,27.62,84.7,89.25,3.4,111.4,26.19,2
Groundnut,76.45,39.79,47.44,68.5,6.73,26.1,58.68,0
Maize,78.84,32.38,80.52,85.93,7.27,91.6,64.39,0
Rice,22.67,30.9,45.68,50.0,1.33,78.4,9.95,2
Rice,47.06,20.72,70.39,30.16,5.98,83.4,40.25,1
Groundnut,41.69,36.96,59.81,36.13,0.17,103.0,29.98,2
Groundnut,49.26,21.68,40.75,86.93,2.21,51.3,43.46,1
Cotton,53.83,20.94,41.93,20.97,4.42,73.8,43.35,1
Rice,16.42,25.5,50.48,72.84,4.83,40.5,5.0,2
Tomato,73.96,29.52,77.17,30.31,2.92,41.3,65.74,0
Rice,83.16,37.91,75.09,41.79,2.16,66.5,69.91,0
Rice,60.74,35.8,46.28,10.27,1.37,10.8,43.61,1
Tomato,61.23,23.95,61.19,53.12,1.92,37.3,52.02,0
Chilli,51.96,27.44,40.33,21.55,1.04,26.7,39.84,1
Rice,38.4,35.6,74.38,87.37,2.09,23.2,27.0,2
Groundnut,25.43,30.54,78.63,18.8,6.57,52.3,15.1,2
Maize,55.88,23.49,84.14,32.53,2.3,21.5,49.58,1
Tomato,18.15,27.92,83.72,11.33,7.26,27.0,8.46,2
Chilli,72.72,32.52,53.58,99.36,1.96,83.6,58.47,0
Cotton,44.46,39.46,49.0,67.73,3.94,81.6,26.62,2
Tomato,44.03,33.24,84.31,67.92,1.34,114.0,31.33,1
Rice,37.9,20.32,43.03,56.7,0.14,111.2,32.51,1
Rice,82.85,34.1,38.26,88.12,5.0,106.1,66.32,0
Groundnut,27.24,25.02,52.28,22.98,2.7,86.0,18.46,2
Rice,25.59,37.24,76.82,81.36,2.76,39.3,12.34,2
Chilli,26.59,27.68,73.18,82.64,3.26,29.6,18.15,2
Maize,61.1,23.99,89.29,13.25,6.22,114.4,51.49,0
Cotton,84.43,29.36,54.77,21.94,3.2,115.6,79.03,0
Rice,31.48,25.1,50.17,59.24,0.69,65.5,21.21,2
Groundnut,78.39,24.72,55.8,18.12,2.23,70.3,75.35,0
Cotton,34.5,31.47,78.02,35.41,4.61,10.6,23.93,2
Maize,60.35,35.35,46.79,46.33,7.95,26.3,44.14,1
Tomato,17.83,36.7,87.13,24.15,1.15,70.1,6.76,2
Groundnut,49.7,27.95,63.19,73.37,2.59,30.0,38.98,1
Tomato,60.82,21.34,78.07,54.56,3.88,62.7,55.64,0
Maize,52.54,29.68,80.5,67.58,7.56,97.4,38.14,1
Maize,31.65,28.68,61.33,52.69,0.87,98.1,22.09,2
Tomato,72.99,23.94,75.78,47.12,6.35,104.8,62.26,0
Maize,82.91,37.92,55.06,54.32,5.78,35.9,64.19,0
Rice,47.14,39.48,79.6,90.96,2.45,57.5,33.21,1
Rice,59.51,21.03,80.31,45.64,6.19,79.0,53.58,0
Tomato,70.33,35.91,66.14,67.8,4.6,73.9,51.21,0
Rice,31.9,32.91,47.0,85.06,1.37,119.9,16.98,2
Maize,75.51,25.23,88.36,65.9,2.29,40.4,72.07,0
Groundnut,34.61,32.7,87.08,30.35,2.63,17.8,26.57,2
Rice,69.31,22.57,69.09,20.98,2.58,52.7,61.05,0
Rice,22.85,21.39,89.11,63.18,5.97,67.0,15.2,2
Rice,35.19,39.87,62.65,75.47,5.28,52.6,14.43,2
Chilli,52.35,32.73,55.65,79.19,6.56,45.1,36.76,1
Tomato,51.74,25.06,60.33,72.44,4.09,38.3,42.91,1
Maize,74.53,29.0,37.52,10.31,2.8,57.0,59.15,0
Rice,84.73,39.0,65.2,79.65,0.54,85.8,72.59,0
Tomato,22.5,28.77,71.64,64.42,6.36,26.4,13.78,2
Maize,34.0,38.01,41.02,98.94,0.6,105.2,13.69,2
Maize,40.03,37.38,49.06,78.81,2.41,80.5,21.95,2
Chilli,48.52,26.88,74.67,48.72,5.35,21.8,35.06,1
Cotton,49.57,33.92,78.65,70.85,6.11,12.6,40.89,1
Maize,74.93,33.21,89.22,65.43,0.55,15.6,66.8,0
Groundnut,68.94,35.42,48.93,40.37,4.86,19.9,52.67,0
Chilli,16.32,27.32,81.28,58.02,1.1,80.8,8.88,2
Tomato,46.85,21.04,44.47,28.39,6.06,113.5,33.05,1
Tomato,58.27,23.42,42.2,17.9,5.84,24.7,45.21,1
Tomato,47.23,32.33,75.11,75.97,5.98,41.3,33.27,1
Chilli,24.15,35.5,59.52,44.57,0.51,105.2,7.6,2
Tomato,42.82,35.12,78.67,78.01,4.48,65.6,26.71,2
Groundnut,43.82,31.67,50.54,53.95,1.93,57.0,31.39,1
Maize,28.14,21.7,46.73,82.88,3.97,62.1,19.15,2
Groundnut,67.94,20.35,65.18,76.56,7.92,21.1,61.04,0
Cotton,37.5,35.64,41.34,78.77,0.72,34.2,27.02,2
Maize,56.23,30.99,50.33,48.64,4.75,115.8,37.68,1
Tomato,51.1,35.65,44.14,96.51,1.32,80.8,36.72,1
Cotton,76.42,23.26,52.6,46.47,4.08,41.5,69.24,0
Tomato,23.54,28.15,77.1,81.38,4.17,114.2,10.92,2
Tomato,23.0,38.38,41.64,54.06,3.65,53.7,5.0,2
Groundnut,36.02,23.43,68.65,31.16,5.12,25.5,32.39,1
Maize,45.19,21.23,67.16,66.6,7.79,116.2,39.27,1
Rice,35.9,33.07,64.6,52.22,6.44,83.3,25.41,2
Maize,68.42,31.89,61.63,33.77,7.67,92.8,52.17,0
Maize,32.17,39.04,71.51,44.43,1.52,12.5,19.33,2
Groundnut,20.93,38.13,81.85,24.39,7.95,41.1,7.7,2
Cotton,43.97,34.99,43.91,98.83,2.44,114.0,30.09,1
Tomato,69.14,20.38,79.78,67.89,0.27,27.1,68.17,0
Rice,74.54,29.61,38.38,25.62,3.49,106.1,61.57,0
Chilli,66.33,37.92,61.52,78.81,1.97,94.8,52.7,0
Rice,54.05,28.67,63.13,64.17,6.1,51.6,45.53,1
Tomato,65.69,39.24,45.87,75.03,0.7,107.5,46.13,1
Rice,62.7,33.05,39.93,62.6,4.38,111.5,50.1,0
Rice,31.41,22.19,39.12,15.44,2.32,105.4,22.47,2
Groundnut,53.55,30.19,37.05,28.29,1.65,54.8,40.06,1
Rice,68.94,33.91,66.55,79.19,7.01,74.6,53.71,0
Rice,37.2,21.31,43.55,77.89,4.12,43.7,29.37,2
Groundnut,60.78,26.89,79.48,77.85,2.6,24.3,52.51,0
Tomato,48.7,34.34,84.44,11.37,5.97,109.2,31.49,1
Cotton,50.22,23.14,51.08,82.46,6.83,117.9,37.21,1
Rice,21.3,26.97,44.05,49.52,3.54,16.4,9.64,2
Rice,61.64,33.8,57.53,72.43,1.46,85.7,49.98,1
Rice,75.6,35.51,83.49,34.49,7.95,114.4,62.44,0
Cotton,24.9,30.37,56.99,79.26,2.87,76.9,16.77,2
Chilli,40.63,39.14,40.96,98.41,1.64,15.2,23.02,2
Maize,18.41,38.51,89.16,32.82,0.83,11.6,5.0,2
Tomato,17.07,29.47,62.48,80.58,0.99,65.5,5.0,2
Rice,84.28,23.21,53.83,64.45,7.54,113.4,72.34,0
Chilli,49.54,35.46,84.15,34.58,7.57,40.7,34.86,1
Tomato,39.89,24.86,86.01,36.49,4.06,48.5,31.3,1
Chilli,34.24,36.86,62.32,75.85,5.54,97.6,12.26,2
Cotton,83.6,31.74,51.87,35.59,6.66,98.2,73.06,0
Groundnut,32.66,27.88,61.54,14.3,4.46,113.8,19.33,2
Maize,65.8,31.13,47.06,88.66,5.34,102.3,47.45,1
Rice,34.86,30.66,61.3,63.01,7.74,75.3,21.32,2
Tomato,19.93,38.49,47.62,78.26,1.38,113.3,5.0,2
Groundnut,62.83,24.29,69.22,64.29,1.11,77.6,55.5,0
Chilli,15.11,38.56,76.79,56.48,6.02,76.2,5.0,2
Chilli,62.3,20.63,88.32,79.3,5.63,11.7,55.41,0
Maize,32.53,35.38,81.34,12.89,1.49,60.1,20.03,2
Rice,67.23,38.39,39.74,38.07,2.42,14.7,51.83,0
Groundnut,68.88,27.88,46.63,66.47,5.48,108.9,50.95,0
Cotton,65.69,21.46,64.24,94.96,3.95,11.2,62.58,0
Groundnut,16.71,36.09,49.17,45.43,7.15,43.8,5.0,2
Groundnut,64.26,36.86,35.79,97.78,6.7,119.5,41.8,1
Tomato,84.31,26.73,76.51,77.98,3.9,97.5,75.72,0
Tomato,31.98,30.37,54.68,53.64,5.33,93.3,16.91,2
Tomato,34.2,36.19,38.64,48.62,5.15,88.4,13.13,2
Groundnut,71.95,23.84,62.99,21.65,0.74,15.6,63.27,0
Chilli,26.23,32.58,88.75,65.37,3.4,41.7,13.84,2
Maize,61.24,28.61,72.32,14.71,3.52,97.8,49.98,1
Groundnut,67.85,23.49,43.73,48.62,7.18,108.5,54.61,0
Chilli,17.6,36.63,63.29,31.39,7.08,48.5,5.0,2
Groundnut,53.76,26.49,84.59,96.07,0.46,38.5,52.9,0
Groundnut,55.31,38.69,37.98,42.69,6.76,35.9,36.75,1
Rice,36.24,31.38,70.08,54.03,4.89,70.3,23.49,2
Maize,76.34,30.29,74.67,43.79,0.13,42.1,70.75,0
Cotton,26.39,28.47,73.72,22.35,3.05,12.3,18.36,2
Cotton,40.49,28.01,43.26,41.73,7.1,53.0,23.23,2
Rice,74.41,36.36,84.9,80.11,2.87,70.9,60.36,0
Tomato,28.34,33.55,52.72,65.91,5.41,79.8,5.49,2
Chilli,72.5,35.47,37.85,49.37,4.53,47.7,52.21,0
Cotton,20.53,28.42,39.58,83.85,4.72,44.5,9.16,2
Rice,49.25,25.23,60.17,10.37,3.85,41.2,37.71,1
Chilli,20.27,21.74,37.2,84.39,3.86,78.6,7.12,2
Tomato,62.45,35.53,77.88,15.36,7.22,41.2,42.51,1
Tomato,70.34,28.31,82.62,88.32,3.31,110.9,59.37,0
Chilli,74.49,30.18,35.74,95.28,1.53,41.0,58.68,0
Maize,83.69,29.39,79.55,83.73,3.36,97.0,75.31,0
Chilli,62.04,28.62,88.97,11.76,5.86,45.2,51.65,0
Tomato,68.83,33.68,36.67,57.36,3.8,79.8,53.33,0
Cotton,50.4,32.17,74.87,84.59,5.86,86.9,38.34,1
Rice,78.89,39.44,89.95,59.05,1.92,29.2,71.91,0
Groundnut,60.06,22.78,78.84,42.39,4.66,51.8,53.57,0
Rice,76.85,31.47,62.79,52.36,6.91,24.0,62.97,0
Cotton,31.48,21.26,83.67,17.26,4.23,66.2,31.89,1
Maize,49.77,36.16,73.94,54.67,5.09,110.0,29.95,2
Maize,66.09,32.33,51.08,12.51,5.43,75.6,49.1,1
Rice,29.19,28.57,47.34,67.97,5.92,87.2,12.57,2
Cotton,29.79,36.04,63.19,45.14,2.8,41.1,14.77,2
Rice,83.46,29.1,55.51,27.22,5.01,61.5,67.54,0
Chilli,45.42,24.56,53.12,11.56,3.33,91.5,35.38,1
Cotton,27.73,29.45,44.79,92.99,3.13,24.4,15.23,2
Groundnut,38.2,21.42,81.49,60.07,3.8,23.4,33.27,1
Cotton,42.82,37.96,73.78,68.23,3.26,34.7,33.1,1
Tomato,58.62,34.62,53.22,80.14,0.21,36.0,45.81,1
Cotton,79.61,35.21,48.07,66.39,5.94,115.9,65.3,0
Cotton,84.06,37.49,42.05,47.18,4.67,27.4,71.98,0
Tomato,60.62,35.83,41.19,66.48,1.1,21.6,47.68,1
Rice,63.99,28.64,69.4,32.73,2.09,25.1,53.68,0
Groundnut,37.53,22.37,40.98,60.52,4.89,32.3,28.83,2
Rice,75.0,27.47,87.81,28.5,4.14,50.6,67.13,0
Chilli,30.25,38.68,50.35,92.57,5.79,31.7,9.25,2
Tomato,22.45,38.98,36.42,55.86,3.91,19.7,5.0,2
Rice,83.13,35.36,82.04,31.05,6.76,25.0,69.13,0
Cotton,75.49,24.09,55.22,67.57,0.62,96.9,68.25,0
Rice,36.26,23.89,53.86,18.13,4.91,67.2,29.73,2
Cotton,62.26,37.6,41.52,49.06,2.97,92.0,45.27,1
Cotton,47.69,22.84,71.32,87.94,2.45,29.4,38.41,1
Rice,37.62,31.68,54.73,79.11,7.55,43.6,23.2,2
Tomato,35.07,27.57,80.26,73.31,6.91,118.1,19.1,2
Cotton,24.52,26.04,69.68,52.35,1.47,19.4,18.91,2
Chilli,53.45,33.55,83.4,50.22,0.46,58.3,44.33,1
Rice,46.26,39.19,69.24,11.02,6.94,42.5,29.65,2
Groundnut,50.85,35.55,77.86,64.0,1.35,10.8,39.7,1
Tomato,30.08,29.72,73.31,61.93,7.43,70.8,14.88,2
Rice,80.7,28.81,60.44,10.48,2.22,70.5,72.8,0
Groundnut,59.7,38.15,72.88,22.33,3.29,45.3,43.33,1
Rice,77.97,31.56,71.5,11.12,0.36,61.9,70.79,0
Chilli,22.65,29.93,35.37,32.79,4.3,53.1,5.0,2
Groundnut,58.6,33.66,73.43,10.35,1.51,61.1,49.02,1
Chilli,74.46,24.74,49.42,47.56,3.45,103.3,59.22,0
Chilli,38.16,21.27,64.8,52.88,7.36,88.5,28.2,2
Maize,28.66,37.1,41.12,49.34,2.02,40.8,12.03,2
Rice,33.55,32.15,36.27,27.95,5.08,36.3,19.13,2
Chilli,34.11,23.3,35.83,57.12,1.62,89.8,24.96,2
Groundnut,46.3,25.96,43.7,83.27,4.88,34.7,33.34,1
Rice,37.82,39.8,36.09,36.21,2.31,109.8,19.77,2
Groundnut,33.99,32.69,42.28,38.13,5.45,101.6,17.97,2
Maize,60.4,32.72,65.75,58.85,6.16,37.8,45.41,1
Chilli,18.71,21.44,57.02,31.04,7.05,98.2,8.17,2
Rice,38.83,39.38,88.94,40.4,7.35,31.0,24.7,2
Chilli,63.28,37.86,79.48,50.72,1.93,12.7,48.51,1
Tomato,27.31,30.96,43.07,44.77,1.03,115.7,14.81,2
Tomato,30.46,26.19,57.92,83.64,0.39,93.7,22.07,2
Cotton,29.05,33.96,58.7,86.41,5.76,63.8,14.55,2
Rice,15.06,36.67,54.92,46.26,1.5,102.8,5.0,2
Maize,48.16,35.72,62.26,50.3,6.4,18.3,31.56,1
Chilli,17.73,39.54,71.84,96.12,7.72,91.4,5.0,2
Rice,34.11,32.74,70.25,55.28,1.18,115.2,18.87,2
Tomato,84.64,26.42,54.64,99.37,2.27,100.0,71.42,0
Maize,79.29,29.96,73.78,78.65,4.19,57.5,67.05,0
Chilli,30.06,36.33,50.92,33.78,3.44,48.1,9.4,2
Groundnut,36.7,25.31,80.95,30.62,3.41,108.2,26.8,2
Groundnut,47.46,24.63,88.04,24.32,1.74,42.1,43.27,1
Tomato,74.11,34.5,51.21,82.55,7.11,113.1,52.24,0
Rice,71.19,28.89,78.16,37.62,5.45,45.2,60.74,0
Rice,23.84,36.33,79.74,70.82,1.23,23.8,10.96,2
Chilli,23.71,22.87,61.99,58.61,0.04,35.9,17.76,2
Rice,44.17,26.71,39.83,84.34,6.1,67.1,28.36,2
Tomato,75.91,25.36,78.24,77.57,0.13,24.4,73.76,0
Groundnut,76.75,33.96,57.41,15.74,7.04,51.8,64.27,0
Groundnut,22.52,35.19,46.44,40.46,4.24,109.6,5.0,2
Groundnut,55.2,29.12,69.47,56.81,7.44,20.3,41.0,1
